partial data for cat2.dat, single appearance or disappeared
     ID     q		e     omega	 Omega     i
C/1870 K1   1.008692  1.0      198.2279  143.5674  121.7835
C/1870 Q1   1.816602  1.0      354.9389   14.7591   99.3580
C/1870 W1   0.389262  1.0       90.6273   96.5866  147.2703
C/1871 G1   0.654300  0.997814 222.5068  281.1122   87.6034
C/1871 L1   1.083363  1.0       96.3220  213.7030  101.9782
C/1871 V1   0.691268  0.995714 242.8935  148.9291   98.2992
C/1873 Q1   0.794061  0.996482 193.7729  232.3621   95.9662
C/1873 Q2   0.384913  0.999730 233.7544  178.4959  121.4625
C/1874 D1   0.044568  1.0      269.5098   32.0541   58.8932
C/1874 G1   0.885773  1.0      331.7167  275.8486  148.4122
C/1874 H1   0.675782  0.998820 152.3804  120.4950   66.3439
C/1874 O1   0.982649  0.998831  92.6123  253.2797   41.8266
C/1874 Q1   1.687985  0.962822 149.5850  217.6274   34.1267
C/1874 X1   0.508226  1.0       16.2682  283.7164   99.2205
C/1877 C1   0.807441  1.0      347.1611  188.9608  152.8948
C/1877 G1   0.949980  0.998701  63.1204  318.3341  121.1548
C/1877 G2   1.009053  0.997923 116.7721  347.7984   77.1916
C/1877 R1   1.575904  1.0      143.2049  252.7106  102.2274
C/1877 T1   1.070451  1.0      103.2436  185.9981  115.7261
C/1878 N1   1.391967  1.0      177.5898  103.9645   78.1761
C/1879 M1   0.896547  1.0        3.7528   47.4546  107.0440
C/1879 Q1   0.989608  1.0      115.4560   88.8689   77.1302
C/1879 Q2   0.991480  1.0       84.2634   34.1187  107.7629
C/1880 C1   0.005494  1.0       86.2486    7.7774  144.6666
C/1880 G1   1.814412  1.000813 145.1676  258.9247  123.0563
C/1880 S1   0.354634  1.0      323.1288   47.0065  141.9119
C/1880 Y1   0.659736  1.0       11.6877  251.0495   60.7007
C/1881 J1   0.591090  1.0      173.8057  128.1073   77.9336
C/1881 K1   0.734558  0.995946 354.2350  272.6308   63.4253
C/1881 N1   0.633542  1.0      122.1455   98.7236  140.2281
C/1881 S1   0.449200  1.0        6.2860  275.8195  112.8160
C/1881 W1   1.924973  0.990169 117.9488  183.0394  144.8016
C/1882 F1   0.060763  0.999994 208.9854  206.5911   73.7977
C/1882 R1-A 0.007750  0.999899  69.5843  347.6563  142.0112
C/1882 R1-B 0.007751  0.999907  69.5853  347.6566  142.0111
C/1882 R1-C 0.007751  0.999915  69.5840  347.6545  142.0105
C/1882 R1-D 0.007749  0.999920  69.5808  347.6510  142.0093
C/1882 R2   0.955567  1.0      254.2883  250.7703   96.1466
C/1883 D1   0.760062  1.0      110.8946  279.7735   78.0648
C/1884 A1   0.309607  1.0      138.5968  265.9925  114.9770
D/1884 O1   1.279482  0.583252 301.0508    6.7602    5.4701
C/1885 N1   2.506732  1.0      178.5163   93.8996   80.6240
C/1885 R1   0.749149  0.982264  42.8501  206.3675   59.0970
C/1885 X1   0.642363  1.000272 126.5878   37.9632   82.6286
C/1885 X2   0.479259  1.000238 119.6230   69.9101   84.4414
C/1885 Y1   1.079545  1.0       35.5904  263.8113   42.4422
C/1886 H1   0.269803  0.996783 201.2872  194.2045   87.6615
C/1886 J1   0.84199   1.0       38.559   289.365   100.218
D/1886 K1   1.325273  0.571388 176.8756   55.1391   12.6710
C/1886 T1   0.663317  1.000408  86.3484  138.9713  101.6154
C/1887 B1   0.00483   1.0       83.513     4.585   144.383
C/1887 B2   1.630145  0.983694 159.4231  281.5113  104.2738
C/1887 B3   1.480714  1.0       31.9115  259.7963   85.5867
C/1887 D1   1.006455  1.0       36.5539  137.0419  139.7763
C/1887 J1   1.393813  0.996093  15.0876  246.8451   17.5479
C/1888 D1   0.698772  0.995874 359.9049  246.9623   42.2482
C/1888 P1   0.902226  0.999908  59.2168  103.0576   74.1904
C/1888 R1   1.814916  1.001230 340.4642  358.9751  166.3842
C/1888 U1   1.527853  0.991488 290.8087  139.0896   56.3425
C/1889 G1   2.255596  0.999818 236.0618  312.2212  163.8517
D/1889 M1   1.104894  0.960033  60.2321  272.6342   31.2468
C/1889 O1   1.039721  0.997611 345.8619  287.7115   65.9916
C/1889 X1   0.269796  1.0      199.8551   10.0183   56.7537
C/1890 F1   1.907582  1.000266  68.9273  321.8779  120.5690
C/1890 O1   0.764087  1.0       85.6608   15.8347   63.3509
C/1890 O2   1.260223  0.999187 163.0523  101.6590   98.9373
C/1890 V1   2.046694  0.995872 331.2842   86.9342  154.3070
C/1891 F1   0.397896  1.0      178.7501  195.4535  120.5116
C/1891 T1   0.971089  1.0      269.5671  219.5276   77.9880
C/1892 E1   1.026832  0.998731  24.4974  242.4297   38.7002
C/1892 F1   1.970726  1.000371 129.3189  254.9390   89.6959
C/1892 Q1   0.975989  1.000441 252.6530  266.0346   24.8012
D/1892 T1   1.432189  0.589631 169.9945  208.0361   31.2608
C/1892 W1   1.195108  1.0       85.2140  187.1426  143.8494
C/1893 N1   0.674549  0.999460  47.1176  338.8337  159.9804
C/1893 U1   0.811991  0.996489 347.4515  176.4141  129.8233
D/1894 F1   1.147000  0.697887  46.3504   85.7329    5.5274
C/1894 G1   0.983032  0.989884 324.1843  207.8852   86.9666
D/1895 Q1   1.297763  0.652013 167.7817  171.7537    2.9923
C/1895 W1   0.191978  1.000051 272.6665  321.9554  141.6263
C/1895 W2   0.843034  1.0      298.7831   84.5467   76.2461
C/1896 C1   0.587289  1.0      358.3153  210.2789  155.7381
C/1896 G1   0.566286  1.000476   1.7387  179.7008   55.5600
C/1896 R1   1.142895  1.0       41.0582  152.4400   88.4215
D/1896 R2   1.454747  0.588483 140.5092  194.8976   11.3507
C/1896 V1   1.062791  1.000983 172.3394   87.9315  146.1365
C/1897 U1   1.356679  1.0       65.9082   33.4878   69.6101
C/1898 F1   1.095261  0.980454  47.3073  263.8681   72.5292
C/1898 L1   1.701595  1.000934 233.2693   75.4087   69.9358
C/1898 L2   0.626438  1.0      205.6135  260.5279   70.0300
C/1898 M1   1.501318  1.0       22.3475  279.6618  166.8542
C/1898 R1   0.420373  1.0      162.3761   36.2954   28.8596
C/1898 U1   0.756011  1.0      123.5520   97.7443  140.3448
C/1898 V1   2.284591  0.999507   4.6417   97.2443   22.5046
C/1899 E1   0.326576  1.000357   8.7101   26.4081  146.2690
C/1899 S1   1.785838  1.0       10.7733  273.6234   76.9442
C/1900 B1   1.331529  1.001058  24.4095   41.7943  146.4486
C/1900 O1   1.014835  1.000410  12.4225  329.4136   62.5342
C/1901 G1   0.244812  1.0      203.0522  111.0333  131.0770
C/1902 G1   0.44392   1.0      229.621    54.033    65.201
C/1902 R1   0.401074  0.999968 152.9838   50.7407  156.3548
C/1902 X1   2.773525  1.000603   5.8316  118.8108   43.8956
C/1903 A1   0.410561  0.999670 133.7111    3.6492   30.9416
C/1903 H1   0.499420  1.0      184.9416  214.4924   66.4835
C/1903 M1   0.330182  1.000406 127.2521  294.9099   85.0155
C/1904 H1   2.707793  1.001343  53.5267  277.1216  125.1305
C/1904 Y1   1.882049  1.000678  40.7407  219.7891   99.5989
C/1905 F1   1.114641  0.969961 358.2109  158.7540   40.1989
C/1905 W1   1.052201  1.0      132.6937  224.2493  140.5768
C/1905 X1   0.215900  1.0      199.2180   93.3702   43.6521
C/1906 B1   1.296297  1.000195  89.8495  287.7061  126.4427
C/1906 E1   3.339884  1.001510 158.5996  343.6219    4.2822
C/1906 F1   0.722913  1.0      276.4641   73.3526   83.4615
C/1906 V1   1.212686  0.982624   8.6399   86.1033   56.3891
C/1907 E1   2.051705  1.001003 317.1197   98.4842  141.6595
C/1907 G1   0.923861  1.0      328.7561  190.4170  110.0572
C/1907 L2   0.512173  0.998794 294.4727  144.2656    8.9577
C/1907 T1   0.982949  1.0      294.3789   55.8959  119.6347
C/1908 R1   0.945299  1.000672 171.5949  104.4596  140.1753
C/1909 L1   0.842844  0.994762   4.9955  306.8791   52.0803
C/1910 A1   0.128975  0.999995 320.9122   90.0354  138.7812
C/1910 P1   1.948013  0.999797  50.9574  290.7799  121.0556
C/1911 N1   0.683837  0.996296 110.3714  158.6654  148.4202
C/1911 O1   0.489429  0.997005 153.0045  294.2071   33.8095
C/1911 S2   0.787623  0.998167 122.0359   36.4312  108.1000
C/1911 S3   0.303424  1.000147  71.7112   89.8969   96.4659
C/1912 R1   0.716079  1.000451  25.6216  298.2475   79.8097
C/1912 V1   1.107108  1.0       99.6836  145.0159  124.6351
C/1913 J1   1.456831  0.995288  52.9575  316.2621  152.3673
C/1913 R1   1.356120  0.997560 117.7060  158.6396  143.3547
C/1913 Y1   1.104459  1.000155  97.4671   60.3963   68.0388
C/1914 F1   1.198527  1.000106  72.2254  200.1163   23.9138
C/1914 J1   0.543135  1.0      116.4004   33.8561  112.9822
C/1914 M1   3.746800  1.003290  13.9992  271.5138   71.0410
C/1914 S1   0.712756  0.998666 270.3467    1.5829   77.8360
C/1915 C1   1.005286  1.000151 247.7845   73.4529   54.7922
C/1915 R1   0.443292  1.0      118.8479   78.8935   53.5460
C/1916 G1   1.686446  0.999405 120.6215  184.4572   25.6592
