C/1940 S1   2B   1.062  133.1  -0.000124  -0.001374  -0.001123
C/1941 B2   1B   0.790  168.2  +0.002029  +0.001136  +0.001130
C/1941 K1   1B   0.875   94.5  +0.000078  -0.000278  +0.000190
C/1942 C1   1B   1.445   79.5  +0.000016  -0.000618  -0.000821
C/1942 C2   1A   4.113  172.5  -0.000034  -0.000774  -0.000282
C/1942 X1   1B   1.354   19.7  +0.007352  +0.005765  +0.006146
C/1944 H1   1B   2.411   17.3  +0.003058  +0.002696  +0.002385
C/1944 K2   1A   2.226   95.0  +0.000018  -0.000937  -0.000522
C/1946 C1   1A   1.724   72.8  -0.000013  -0.000678  +0.000373
C/1946 P1   1A   1.136   57.0  +0.000044  -0.000683  +0.000016
C/1946 U1   1A   2.408  108.2  -0.000001  -0.000393  +0.000026
C/1947 F1   1B   0.560   39.3  +0.005924  +0.004596  +0.004564
C/1947 O1   1A   2.828   97.3  +0.000234  -0.000372  -0.000233
C/1947 S1   1A   0.748  140.6  +0.000024  -0.000485  -0.000366
C/1947 Y1   1B   1.500   77.5  +0.000028  -0.000724  +0.000053
C/1948 E1   1A   2.107   92.9  +0.000034  -0.000373  +0.000031
C/1948 L1   2B   0.208   23.1  +0.000525  +0.000604  +0.001937
C/1948 N1   1A   2.517  130.3  +0.000498  +0.000257  +0.000581
C/1948 T1   1A   3.261  155.1  +0.000034  -0.000699  +0.000225
C/1948 V1   2A   0.135   23.1  +0.001294  +0.000480  +0.000518
C/1948 W1   2A   1.273   87.6  +0.002633  +0.001964  +0.002302
C/1949 K1   1A   2.553  131.4  +0.000263  -0.000279  +0.000537
C/1949 N1   1B   2.058  105.8  +0.000735  +0.000659  +0.000957
C/1950 K1   1A   2.572  144.2  +0.000037  -0.000479  +0.000270
C/1951 P1   1B   0.740  152.5  +0.001348  +0.000353  +0.000569
C/1952 H1   2A   1.283  112.0  +0.013506  +0.013397  +0.013938
C/1952 M1   2A   1.202   45.6  +0.000148  +0.000217  +0.000556
C/1952 Q1   1B   1.665   59.1  +0.003277  +0.002457  +0.003323
C/1952 W1   1B   0.778   97.2  -0.000125  -0.000442  -0.000283
C/1953 G1   1B   1.022   93.9  +0.002983  +0.002552  +0.003215
