   .115D+01     .0154   93.3314     .3755  257.7135
   .116D+01     .0153   92.1352     .4139  258.3158
   .116D+01     .0152   90.7990     .4557  258.9904
   .117D+01     .0150   89.3022     .5012  259.7534
   .117D+01     .0149   87.6202     .5512  260.6289
   .118D+01     .0147   85.7228     .6067  261.6528
   .118D+01     .0145   83.5729     .6691  262.8830
   .119D+01     .0144   81.1245     .7415  264.4171
   .119D+01     .0142   78.3204     .8294  266.4353
   .120D+01     .0140   75.0888     .9462  269.3073
   .120D+01     .0138   71.3390    1.1344  273.9235
   .121D+01     .0136   66.9560    1.6233  283.0225
   .121D+01     .0135   61.7928   29.5261  128.6806
   .122D+01     .0135   55.6604     .8077  197.3359
   .122D+01     .0136   48.3136     .8381  232.8405
   .123D+01     .0140   39.4263     .9616  244.2717
   .123D+01     .0149   28.5452    1.0755  249.7371
   .124D+01     .0168   14.9927    1.1824  253.0839
   .124D+01     .0218  357.6861    1.2859  255.4657
   .125D+01     .0419  335.0223    1.3879  257.3389
   .125D+01     .1426  126.0003    1.4890  258.9199
   .126D+01     .0275   94.1298    1.5893  260.3261
   .126D+01     .0194   66.6423    1.6880  261.6284
   .127D+01     .0185   46.2127    1.7838  262.8744
   .127D+01     .0195   31.3588    1.8752  264.1000
   .128D+01     .0216   20.2611    1.9600  265.3355
   .128D+01     .0242   11.7031    2.0355  266.6098
   .128D+01     .0273    4.9324    2.0988  267.9533
   .129D+01     .0308  359.4714    2.1466  269.4008
   .129D+01     .0347  355.0019    2.1755  270.9936
   .130D+01     .0389  351.3030    2.1825  272.7832
   .130D+01     .0434  348.2156    2.1651  274.8340
   .131D+01     .0481  345.6215    2.1218  277.2280
   .131D+01     .0531  343.4311    2.0530  280.0684
   .132D+01     .0582  341.5745    1.9608  283.4840
   .132D+01     .0633  339.9963    1.8500  287.6304
   .133D+01     .0684  338.6518    1.7276  292.6829
   .133D+01     .0734  337.5040    1.6031  298.8127
   .134D+01     .0782  336.5215    1.4875  306.1322
   .134D+01     .0828  335.6772    1.3918  314.6050
   .135D+01     .0872  334.9470    1.3249  323.9515
   .135D+01     .0913  334.3080    1.2914  333.6363
   .136D+01     .0951  333.7378    1.2902  343.0094
   .136D+01     .0988  333.2119    1.3154  351.5301
   .137D+01     .1023  332.7007    1.3586  358.9084
   .138D+01     .1061  332.1625    1.4121    5.0913
   .138D+01     .1103  331.5287    1.4693   10.1686
   .139D+01     .1162  330.6616    1.5258   14.2809
   .139D+01     .1266  329.2126    1.5791   17.5616
   .140D+01     .1581  325.8953    1.6277   20.1053
   .140D+01     .5520  128.8752    1.6715   21.9454
   .141D+01     .0556  353.5552    1.7114   23.0173
   .141D+01     .0760  341.3243    1.7501   23.0623
   .142D+01     .0836  338.5280    1.7963   21.3043
   .142D+01     .0875  337.3333    1.8924   14.9958
   .143D+01     .0897  336.6986    2.6779  348.6615
   .143D+01     .0911  336.3258    2.7772   87.3270
   .144D+01     .0919  336.0968    1.9519   60.4358
   .144D+01     .0925  335.9547    1.8775   53.5131
   .145D+01     .0928  335.8686    1.8602   50.8667
   .145D+01     .0931  335.8199    1.8551   49.6917
   .146D+01     .0932  335.7967    1.8536   49.1598
   .146D+01     .0933  335.7908    1.8531   48.9455
   .147D+01     .0933  335.7964    1.8530   48.8970
   .147D+01     .0934  335.8092    1.8528   48.9352
   .148D+01     .0934  335.8262    1.8525   49.0153
   .148D+01     .0934  335.8447    1.8521   49.1113
   .149D+01     .0934  335.8631    1.8517   49.2072
   .149D+01     .0934  335.8800    1.8512   49.2938
   .150D+01     .0934  335.8944    1.8508   49.3659
   .150D+01     .0934  335.9058    1.8504   49.4213
   .154D+01     .0933  335.9391    1.8491   49.5611
   .155D+01     .0932  335.9528    1.8484   49.6111
   .155D+01     .0931  335.9720    1.8474   49.6796
   .156D+01     .0929  335.9972    1.8459   49.7656
   .156D+01     .0927  336.0284    1.8439   49.8657
   .157D+01     .0925  336.0654    1.8412   49.9728
   .157D+01     .0922  336.1074    1.8376   50.0746
   .158D+01     .0918  336.1532    1.8329   50.1512
   .158D+01     .0914  336.2011    1.8267   50.1709
   .159D+01     .0909  336.2485    1.8185   50.0835
   .159D+01     .0905  336.2921    1.8078   49.8063
   .160D+01     .0899  336.3273    1.7934   49.1977
   .160D+01     .0894  336.3478    1.7743   47.9974
   .161D+01     .0889  336.3455    1.7491   45.6773
   .161D+01     .0884  336.3099    1.7193   41.0082
   .162D+01     .0881  336.2273    1.7111   30.5424
